350,Miami Dade College,Miami
351,University of Nebraska Medical Center,Omaha
352,Hobart and William Smith Colleges,Geneva
353,United States Naval Academy,Annapolis
354,University of Texas Rio Grande Valley,Edinburg ...
355,Colgate University,Hamilton
356,Northern Michigan University,Marquette
357,California State University San Marcos,San Marcos ...
358,New Mexico Institute of Mining and Technology,Socorro
359,Clarkson University,Potsdam ...
360,St. John's University,Queens ...
361,Wheaton College,Wheaton
362,Eastern Illinois University,Charleston
363,Furman University,Greenville
364,Indiana University of Pennsylvania,Indiana
365,Maharishi International University,Fairfield
366,Pratt Institute,Brooklyn
367,Macalester College,Saint Paul
368,Utah Valley University,Orem ...
369,Gonzaga University,Spokane
370,Florida Gulf Coast University,Fort Myers
371,University of Arkansas at Little Rock,Little Rock
372,Eastern Washington University,Cheney
373,Maryville University,St. Louis
374,"California State University, Dominguez Hills",Carson ...
375,University of the Pacific,Stockton ...
376,Medical College of Wisconsin,Milwaukee
377,University of Wisconsin-Green Bay,Green Bay
378,St. Olaf College,Northfield
379,Stevens Institute of Technology,Hoboken
380,College of Saint Benedict/Saint John's University,St. Joseph ...
381,ArtCenter College of Design,Pasadena
382,Colorado School of Mines,Golden
383,The Culinary Institute of America,Hyde Park ...
384,Indiana State University,Terre Haute
385,West Chester University of Pennsylvania,West Chester
386,Gettysburg College,Gettysburg
387,Georgetown College,Georgetown
388,Western Carolina University,Cullowhee ...
389,State University of New York at Oswego,Oswego
390,Emerson College,Boston
391,Hillsdale College,Hillsdale
392,Haverford College,Haverford
393,Hamilton College,Clinton
394,University of Wisconsin-Oshkosh,Oshkosh
395,Skidmore College,Saratoga Springs
396,Augusta University,Augusta
397,DePauw University,Greencastle
398,"California State University, Stanislaus",Turlock ...
399,Northern Kentucky University,Highland Heights ...
400,University of Hawaii-West Oahu,Kapolei
401,Central Washington University,Ellensburg ...
402,Texas A&M University-Corpus Christi,Corpus Christi
403,Drew University,Madison
404,Grinnell College,Grinnell
405,SUNY College of Environmental Science and Forestry,Syracuse
406,North Carolina Agricultural and Technical State University,Greensboro
407,Rider University,Lawrenceville ...
408,Drake University,Des Moines
409,The Juilliard School,New York City
410,Loyola University New Orleans,New Orleans
411,University of Northern Colorado,Greeley
412,Colorado College,Colorado Springs ...
413,Fairfield University,Fairfield
414,Loyola University Maryland,Baltimore
415,St. Cloud State University,St. Cloud
416,Union College,Schenectady
417,Lafayette College,Easton
418,Connecticut College,New London
419,University of Wisconsin-La Crosse,La Crosse
420,Lewis & Clark College,Portland
421,Bradley University,Peoria
422,"California State University, East Bay",Hayward ...
423,Tennessee Tech University,Cookeville
424,Strayer University,Washington ...
425,Hope College,Holland
426,Shippensburg University of Pennsylvania,Shippensburg
427,University of Evansville,Evansville
428,Hult International Business School,Cambridge ...
429,Butler University,Indianapolis
430,Arkansas State University,Jonesboro
431,Broward College,Fort Lauderdale
432,Naval Postgraduate School,Monterey
433,Occidental College,Los Angeles
434,Long Island University,Brooklyn ...
435,Willamette University,Salem
436,Saint Joseph's University,Philadelphia
437,The University of Tennessee at Chattanooga,Chattanooga
438,Azusa Pacific University,Azusa
439,The College of New Jersey,Ewing
440,The Cooper Union for the Advancement of Science and Art,New York City
441,Stephen F. Austin State University,Nacogdoches
442,Rhode Island College,Providence
443,Johnson and Wales University,Providence ...
444,Hampshire College,Amherst
445,Adelphi University,Garden City
446,South Dakota State University,Brookings
447,Widener University,Chester ...
448,Regent University,Virginia Beach
449,Trinity University,San Antonio
450,University of Louisiana at Lafayette,Lafayette
451,Mercer University,Macon ...
452,SUNY Cortland,Cortland
453,Valparaiso University,Valparaíso
454,Whitman College,Walla Walla
455,University of West Florida,Pensacola ...
456,University of Wisconsin-Whitewater,Whitewater
457,University of New Orleans,New Orleans
458,University of Central Arkansas,Conway
459,Stockton University,Galloway ...
460,Rose-Hulman Institute of Technology,Terre Haute
461,Pitzer College,Claremont
